ピクニック街,公園,お弁当屋,パン屋,150
スイーツ街,ケーキ屋,クレープ店,ドーナツ屋,90
商売競争街,スーパーマーケット,八百屋,魚屋,90
ふくよか街,ラーメン屋,ピザ屋,ドーナツ屋,110
お手軽街,牛丼屋,定食屋,ファーストフード,150
インドア娯楽街,レンタルビデオ,ボーリング場,ゲームセンター,110
はなやか街,楽器屋,お花屋,ケーキ屋,150
ファミリー街,公園,ゲームショップ,おもちゃ屋,90
便利街,スーパーマーケット,コンビニ,薬局,90
のんびり街,本屋,コーヒーショップ,お花屋,150
ハイテク街,PCショップ,携帯ショップ,家電量販店,150
アキバ街,アニメショップ,ゲームショップ,おもちゃ屋,90
おもひで街,駄菓子屋,神社,銭湯,110
海の街,海の家,船着き場,魚屋,90
地元街,ケーキ屋,八百屋,お花屋,150
学生街,学校,牛丼屋,ファミレス,90
ランチ街,お弁当屋,パン屋,コーヒーショップ,110
シリコンバレー街,ゲームショップ,携帯ショップ,PCショップ,150
ピチピチ街,つり堀,魚屋,水族館,110
教育街,学校,学習塾,本屋,165
ママさん街,スーパーマーケット,クリーニング店,地域センター,105
ゲーマー街,ゲームショップ,PCショップ,ゲームセンター,125
週末贅沢街,すし屋,焼肉屋,ピザ屋,165
温泉街,銭湯,日帰り温泉,温泉旅館,125
健康街,病院,スポーツジム,銭湯,125
ショッピング街,スーパーマーケット,ブティック,宝石店,105
グルメ街,居酒屋,すし屋,ラーメン屋,125
オシャレ街,ブティック,ケーキ屋,薬局,165
知識街,本屋,博物館,学校,165
トレーニング街,温水プール,スポーツジム,薬局,165
自然街,牧場,公園,キャンプ場,105
とれたて街,ドーナツ屋,牧場,クレープ店,165
ロック街,楽器屋,ライブ会場,レンタルビデオ,105
ファッション街,ブティック,靴屋,美容室,145
療養街,病院,薬局,コンビニ,145
乗り物街,自転車屋,バイクショップ,カーディーラー,125
旅行街,温泉旅館,寺院,お土産屋,185
自然の里,農家,牧場,つり堀,145
館の街,博物館,水族館,映画館,125
警備隊,警備会社,スポーツジム,キャンプ場,145
リフォーム街,工務店,不動産屋,家具屋,185
豪遊街,宝石店,三ツ星ホテル,銀行,185
歓楽街,ゲームセンター,ボーリング場,カジノ,185
文化街,宝石店,博物館,映画館,125
産業街,バイクショップ,カーディーラー,学校,125
アニマル街,ペットショップ,牧場,動物園,125
スポーツ街,競技場,野球場,スポーツジム,210
暮らしの街,デパート,家具店,家電量販店,210
大人の街,クラブ,カジノ,居酒屋,150
古都の町,三重塔,神社,大仏様,170
セレブ街,お城,ブティック,デパート,170
ビジネス街,高層ビル,超高層ビル,銀行,170
幽霊街,電波塔,病院,学校,170
ハリウッド街,映画館,遊園地,宝石店,210
カイロパーク街,カイロ像,ゲームショップ,カイロビル,150
イベント街,映画館,遊園地,ライブ会場,210
ふれあい街,水族館,動物園,牧場,190
エンタメ街,電波塔,テレビ局,ライブ会場,190
ビル街,高層ビル,超高層ビル,カイロビル,210
和洋カイロ決戦,キャッスル,お城,カイロ像,250
空を目指す街,ロケット会場,ヘリポート,国際空港,190
デートスポット,遊園地,動物園,映画館,210
スペシャル街,国際空港,テレビ局,超高層ビル,210
銅トロフィ街　食,展望タワー,銅トロフィ像,定食屋,185
銅トロフィ街　牛,展望タワー,銅トロフィ像,牛丼屋,145
銅トロフィ街　甘,展望タワー,銅トロフィ像,クレープ店,125
銅トロフィ街 賭,展望タワー,銅トロフィ像,カジノ,170
銅トロフィ街  湯,展望タワー,銅トロフィ像,銭湯,125
銀トロフィ街　輪,バイクショップ,銀トロフィ像,カイロビル,210
銀トロフィ街　車,駐車場,銀トロフィ像,カーディーラー,185
銀トロフィ街 動,ファーストフード,銀トロフィ像,スポーツジム,125
銀トロフィ街　知,ファミレス,銀トロフィ像,博物館,125
銀トロフィ街　館,博物館,銀トロフィ像,お城,170
ロードバイク街,自転車屋,スポーツジム,競技場,150
吹奏楽部街,楽器屋,携帯ショップ,銭湯,150
ライブ生中継,ライブ会場,携帯ショップ,電波塔,170
わびさび旅館,魚屋,岩,温泉旅館,110
暮らしの町,家具屋,地下鉄,クリーニング店,170
待ち合わせ街,ファミレス,コーヒーショップ,時計台,150
教師の一日街,クリーニング店,学校,公園,110
飲み歩き街,靴屋,オフィス,居酒屋,125
セキュリティゾーン,宝石店,警備会社,三ツ星ホテル,185
メカニックグループ,工務店,自転車屋,ロケット会場,185
休日の一服,本屋,コーヒーショップ,ベンチ,110
アウトドア街,焼肉屋,キャンプ場,海の家,125
当たりくじ街,宝くじ屋,すし屋,居酒屋,110
空と大地の街,サボテン,花壇,ロケット会場,185
水の町,消火栓,つり堀,温水プール,90
通信街,電話ボックス,PCショップ,携帯ショップ,150
ツーリングロード,ピザ屋,バイクショップ,ファーストフード,150
新鮮飲食店街,八百屋,定食屋,魚屋,150
ゲーム玩具街,ゲームショップ,家電量販店,おもちゃ屋,90
ヘルスケア街,地域センター,病院,地下鉄,150
アニマル美容街,犬の像,美容院,ペットショップ,150
サラリーマン街,オフィス,クリーニング店,病院,185
おやっさん街,ラーメン屋,銭湯,電柱,110
飲み屋街,クラブ,居酒屋,薬局,185
自然の家,家具屋,消火栓,果樹林,165
旅の道中,農家,千年松,自動販売機,105
温水観光地,温水プール,クリーニング店,銭湯,125
大手リーマン街,高層オフィス,しだれ桜,高層ビル,190
メトロ通勤街,地下鉄,高層オフィス,高層ビル,250
大儲け街,高層オフィス,カイロ像,焼肉屋,190
のどか地域,ペットショップ,山,つり堀,150
地下鉄観光,お土産屋,地下鉄,三重塔,210
ｶﾞｯﾂﾘ休日街,ボーリング場,牛丼屋,美容室,105
熱い会場,ライブ会場,駐車場,野球場,150
アウトドアファミリー,キャンプ場,山,駐車場,165
地域の湯と飯,農家,八百屋,日帰り温泉,125
産みのみ観光地,居酒屋,海の家,お城,145
金トロフィ街 城,キャッスル,金トロフィ像,三ツ星ホテル,210
遊ぶ女子街,噴水,クレープ店,動物園,110
ムービー街,アニメショップ,映画館,レンタルビデオ,110
願掛け空港,神社,国際空港,警備会社,150
強盗対策地,警備会社,家電量販店,銀行,125
休日満喫街,美容室,家電量販店,本屋,165
エンタメ街,ゲームセンター,水族館,ボーリング場,125
文武両道街,学習塾,競技場,スポーツジム,170
金トロフィ街 寿,電波塔,金トロフィ像,すし屋,190
銅トロフィ街 海,すし屋,銅トロフィ像,展望タワー,170
銀トロフィ街 賭,コンビニ,銀トロフィ像,カジノ,210
銅トロフィ街 寺,寺院,銅トロフィ像,コンビニ,185
金トロフィ街 豊,日帰り温泉,金トロフィ像,牧場,170
金トロフィ街 遊,海の家,金トロフィ像,遊園地,210
銀トロフィ街 買,バス停,銀トロフィ像,デパート,170
金トロフィ街 映,デパート,金トロフィ像,映画館,150
引っ越し相談所,不動産屋,案内所,地域センター,105
遠足街,駄菓子屋,大仏様,お土産屋,125
ローカルラジオ街,案内所,地域センター,電波塔,185
管制室,ヘリポート,警備会社,PCショップ,150
カイロ玩具街,おもちゃ屋,PCショップ,カイロビル,125
カイロ親父像街,カイロ親父像,金トロフィ像,テレビ局,250
アブファラ像街,アブファラ像,金トロフィ像,カイロビル,250
カイロマン像街,カイロマン像,金トロフィ像,映画館,190
カイロランド,公共トイレ,カイロ像,遊園地,145
通学路,薬局,学校,地下鉄,150
観戦街,ドーナツ屋,消火栓,競技場,125
地域のグルメ,ケーキ屋,牧場,農家,185
神仏の恵み,大仏様,農家,神社,145
テレビ販売促進,電柱,電波塔,家電量販店,165
花香る牧場,お花屋,ひまわり,牧場,90
春ショッピング街,ブティック,サクラ,デパート,210
あじさい弁当,お弁当屋,あじさい,農家,110
産地直送街,スーパーマーケット,山,農家,125
総菜パン街,パン屋,山,農家,105
買い食い街,ごみ箱,コンビニ,学校,110
カイロ犬像街,カイロ犬像,金トロフィ像,病院,210
クマックス像街,クマックス像,金トロフィ像,家電量販店,190
地域密着街,時計台,地域センター,神社,90
金トロフィ街 和,三ツ星ホテル,金トロフィ像,しだれ桜,250
ソフ子姫像街,ソフ子姫像,金トロフィ像,温泉旅館,210
チンパンG像街,チンパンG像,金トロフィ像,スポーツジム,250
パンプキン像街,パンプキン像,金トロフィ像,カーディーラー,190
ひしょ子像街,ひしょ子像,金トロフィ像,遊園地,210
ひつじ像街,ひつじ像,金トロフィ像,学校,250
マダコ星人像街,マダコ星人像,金トロフィ像,競技場,190
みな子像街,みな子像,金トロフィ像,水族館,210
ほのぼの街,ベンチ,いちょう,ファーストフード,90
ワイロくん像街,ワイロくん像,金トロフィ像,牧場,250
旅番組地,レンタルビデオ,バイクショップ,PCショップ,150
宇佐美像街,宇佐美像,金トロフィ像,野球場,190
天使カイロ像街,天使カイロ像,金トロフィ像,動物園,210
ルン子像街,ルン子像,金トロフィ像,三重塔,210
金トロフィ街 緑,つり堀,金トロフィ像,噴水,105
お大事に街,診療所,薬局,コンビニ,105
リハビリ街,診療所,日帰り温泉,銭湯,105
ご近所街,スポーツ用品店,学校,駄菓子屋,165
運動服街,スポーツ用品店,靴屋,ブティック,185
大型動物園,サファリパーク,動物園,水族館,250
パカパカ街,競馬場,牧場,動物園,210
接待街,ゴルフコース場,カイロ親父像,居酒屋,210
動物街,サファリパーク,カイロ犬像,ペットショップ,210
あぶく銭街,競馬場,アブファラ像,カジノ,210
ゴルフ街,ゴルフ練習場,ゴルフコース場,スポーツ用品店,170
ホールインワン街,ゴルフ練習場,金トロフィ像,ドーナツ屋,170
新鮮街,野外プール,水族館,魚屋,165
スイミング街,野外プール,海の家,温水プール,185
ものしり街,プラネタリウム,学校,博物館,125
宇宙街,プラネタリウム,ロケット会場,ﾏﾀﾞｺ星人像,190
お引越し街,ホームセンター,不動産屋,スーパーマーケット,145
アスリート街,運動場,スポーツジム,競技場,210
特訓街,運動場,金トロフィ像,野球場,210
ニコニコ街,噴水広場,遊園地,ｿﾌ子姫像,190
高原街,噴水広場,温泉旅館,キャンプ場,150
ほっこり街,通年スキー場,温泉旅館,牧場,190
リゾート街,通年スキー場,ワイロくん像,国際空港,190
郊外街,ホームセンター,農家,PCショップ,170
